,gross_profit,n_gross,loss,n_loss,profit,n_profit,bnh,mdd
0,139.2188421876452,183,99.73441179327642,143,39.4844303943688,56.13496932515337,-2.885380168489698,84.05823014463589
1,124.38822430403003,184,90.62730199450499,150,33.76092230952503,55.08982035928144,-5.800620821394457,84.05823014463589
2,72.96115255275082,172,33.38648842221062,114,39.5746641305402,60.13986013986014,21.001316657358256,84.05823014463589
3,91.79245594224228,217,66.82615281753104,140,24.966303124711253,60.78431372549019,21.919916265334216,84.05823014463589
4,96.75227968755651,260,59.562589311728495,170,37.18969037582801,60.46511627906977,21.411927027441358,84.05823014463589
5,129.17279382349847,243,117.01184953523509,200,12.160944288263376,54.853273137697514,16.378417476766504,84.05823014463589
6,141.22670836221764,273,104.93236488806383,175,36.29434347415379,60.9375,38.27119291703246,84.05823014463589
7,229.9442126776138,307,181.85582719107234,234,48.08838548654146,56.746765249537894,63.268588189947444,84.05823014463589
8,293.42702602228,307,317.09524464873687,293,-23.668218626456827,51.166666666666664,-28.207754010695187,84.05823014463589
9,188.63884682884137,308,184.2253312761619,253,4.413515552679459,54.90196078431372,0.9305668837964588,84.05823014463589
10,303.6919840106652,355,285.33243115472385,318,18.359552855941352,52.74888558692422,-16.793849187606273,84.05823014463589
11,292.2374872216601,338,268.5995944518479,351,23.637892769812208,49.056603773584904,-21.03755394688061,84.05823014463589
12,161.31024346749956,345,150.98307935577554,275,10.327164111724008,55.645161290322584,16.07255981129957,84.05823014463589
13,159.34736116174534,374,148.6081946788526,294,10.739166482892726,55.98802395209581,-11.556372786218919,84.05823014463589
14,169.03682863713033,418,141.73029400031885,310,27.306534636811474,57.417582417582416,-10.441542070800786,84.05823014463589
15,130.91542154828224,366,128.816025216467,304,2.0993963318152398,54.62686567164179,-17.337720412870944,84.05823014463589
16,79.1829236500123,329,62.165814681895704,238,17.017108968116602,58.02469135802469,35.32299501107256,84.05823014463589
17,92.0955175992288,319,84.64290827883357,263,7.45260932039522,54.81099656357388,2.9502215613772482,84.05823014463589
18,93.83609810262163,389,80.67523846605351,289,13.160859636568123,57.37463126843658,-12.23864537740015,84.05823014463589
19,72.9377599607304,341,71.2490967957483,287,1.688663164982096,54.29936305732484,-9.616686476930598,84.05823014463589
20,72.16306871476553,348,78.54765615720267,342,-6.384587442437139,50.43478260869565,-10.407311673563514,84.05823014463589
21,61.95207964343407,351,64.75849255612283,306,-2.8064129126887605,53.42465753424658,-1.1634386174016709,84.05823014463589
22,50.87071231882385,371,49.03094895575203,293,1.8397633630718224,55.873493975903614,1.4694199951461577,84.05823014463589
23,76.21811006393148,388,57.43773861762589,278,18.780371446305587,58.25825825825826,20.835376527194548,84.05823014463589
24,96.84695192991245,404,102.27602485895912,331,-5.429072929046674,54.965986394557824,-26.61475851514309,84.05823014463589
25,87.74453868110288,413,56.53684746784007,255,31.207691213262812,61.82634730538922,15.5256270757923,84.05823014463589
26,62.35997639552649,379,64.40394336485626,296,-2.04396696932978,56.148148148148145,-7.46105568655904,84.05823014463589
27,63.66565241205533,377,45.41430150695095,270,18.25135090510438,58.26893353941267,1.4158309657754642,84.05823014463589
28,46.381675109065334,370,37.934167598699844,301,8.447507510365494,55.14157973174367,3.1351234334047207,84.05823014463589
29,40.80521103057798,345,48.70568238019765,327,-7.90047134961967,51.339285714285715,-1.424936691969901,84.05823014463589
30,19.62936446924619,335,21.164890402920513,308,-1.5355259336743199,52.099533437013996,-1.8362531131309436,84.05823014463589
31,62.1752399652423,339,77.38642487949858,335,-15.21118491425627,50.29673590504451,-25.475454161124023,84.05823014463589
32,192.35379640061092,408,191.39235995138654,376,0.9614364492243954,52.04081632653061,-19.78767545745099,84.05823014463589
33,125.93563813608482,427,117.0649647440795,350,8.870673392005312,54.95495495495496,-9.357815267033276,84.05823014463589
34,114.84648006018672,394,105.01511858767918,280,9.831361472507538,58.45697329376855,5.681279316235413,84.05823014463589
35,55.03964050934265,381,49.85608241411182,289,5.183558095230828,56.865671641791046,-2.163817617611129,84.05823014463589
36,35.972337398833794,356,38.29543335426892,272,-2.323095955435134,56.68789808917197,-6.357035096735681,84.05823014463589
37,35.32035643996549,354,26.27347570990609,264,9.046880730059392,57.28155339805825,6.838159141003284,84.05823014463589
38,48.252080786882274,361,41.6446997794292,257,6.607381007453067,58.41423948220065,4.713745201469244,84.05823014463589
39,38.74312545522375,309,33.867426412428486,249,4.875699042795262,55.376344086021504,1.1377932507813393,84.05823014463589
40,31.207676608793083,337,26.72718143115802,248,4.480495177635063,57.60683760683761,2.2951229939832523,84.05823014463589
41,60.88174900807337,329,47.20673558895182,233,13.675013419121552,58.54092526690391,31.435044893735775,84.05823014463589
42,52.12380428475858,329,45.313318250889964,245,6.810486033868612,57.31707317073171,6.939739505265552,84.05823014463589
43,63.22988149455777,348,56.061463057464486,259,7.168418437093282,57.33113673805601,7.6023720474046925,84.05823014463589
44,135.6982445683504,325,102.82370483032281,218,32.874539738027565,59.85267034990792,33.29396402847395,84.05823014463589
45,91.3700139770018,368,76.00670931317686,283,15.36330466382495,56.5284178187404,-0.05624844368772151,84.05823014463589
46,80.9416381015963,364,70.355298769638,268,10.586339331958305,57.59493670886076,15.272934184737947,84.05823014463589
47,154.25403474344975,355,153.671365439184,259,0.5826693042657594,57.817589576547235,11.94166727000279,84.05823014463589
48,145.32937531545994,389,133.75434090662915,312,11.57503440883081,55.49215406562054,5.635405314635458,84.05823014463589
49,108.16995667843146,367,104.9468635145749,320,3.2230931638565607,53.42066957787482,-12.017579557136818,84.05823014463589
